Date,Price,Open,High,Low,Chg%
"Mar 19, 2014",29981,30211,30222,29926,-0.74%
"Mar 20, 2014",29751,29930,29973,29721,-0.77%
"Mar 21, 2014",29742,29757,29917,29696,-0.03%
"Mar 24, 2014",29159,29700,29700,29121,-1.96%
"Mar 25, 2014",28898,29110,29260,28863,-0.90%
"Mar 26, 2014",28571,29050,29050,28380,-1.13%
"Mar 27, 2014",28449,28557,28700,28290,-0.43%
"Mar 28, 2014",28380,28360,28490,28119,-0.24%
"Mar 31, 2014",28536,28448,28790,28363,0.55%
"Apr 01, 2014",28080,28610,28615,28001,-1.60%
"Apr 02, 2014",28184,27923,28399,27861,0.37%
"Apr 03, 2014",28435,28440,28550,28380,0.89%
"Apr 04, 2014",28464,28435,28623,28361,0.10%
"Apr 05, 2014",28246,28246,28246,28246,-0.77%
"Apr 07, 2014",28326,28230,28360,28221,0.28%
"Apr 08, 2014",28477,28398,28586,28397,0.53%
"Apr 09, 2014",28417,28475,28559,28353,-0.21%
"Apr 10, 2014",28781,28450,28814,28450,1.28%
"Apr 11, 2014",28756,28799,28844,28670,-0.09%
"Apr 14, 2014",28959,28845,28986,28843,0.71%
"Apr 15, 2014",28573,28850,28850,28200,-1.33%
"Apr 16, 2014",28589,28520,28657,28315,0.06%
"Apr 17, 2014",28505,28550,28617,28460,-0.29%
"Apr 19, 2014",28532,28532,28532,28532,0.09%
"Apr 21, 2014",28527,28425,28580,28282,-0.02%
"Apr 22, 2014",28599,28536,28678,28482,0.25%
"Apr 23, 2014",28790,28645,28815,28645,0.67%
"Apr 25, 2014",28905,28845,28965,28757,0.40%
"Apr 27, 2014",28898,28898,28898,28898,-0.02%
"Apr 28, 2014",28970,28980,29020,28875,0.25%
"Apr 29, 2014",28750,28902,28902,28691,-0.76%
"Apr 30, 2014",28887,28725,28972,28583,0.48%
"May 01, 2014",28580,28825,28825,28510,-1.06%
"May 02, 2014",28871,28597,28889,28420,1.02%
"May 05, 2014",28935,28920,29039,28875,0.22%
"May 06, 2014",28887,28913,28959,28834,-0.17%
"May 07, 2014",28520,28943,29036,28505,-1.27%
"May 08, 2014",28523,28555,28624,28452,0.01%
"May 09, 2014",28525,28589,28648,28487,0.01%
"May 12, 2014",28628,28474,28798,28350,0.36%
"May 13, 2014",28462,28590,28650,28432,-0.58%
"May 14, 2014",28704,28599,28749,28599,0.85%
"May 15, 2014",28408,28680,28686,28375,-1.03%
"May 16, 2014",28089,28351,28351,28014,-1.12%
"May 19, 2014",28144,28050,28299,28030,0.20%
"May 20, 2014",28186,28120,28245,28062,0.15%
"May 21, 2014",27373,28245,28277,27341,-2.88%
"May 22, 2014",27241,27300,27520,27100,-0.48%
"May 23, 2014",27349,27295,27395,27155,0.40%
"May 26, 2014",27483,27325,27500,27292,0.49%
"May 27, 2014",26958,27525,27525,26875,-1.91%
"May 28, 2014",26834,26937,26970,26735,-0.46%
"May 29, 2014",26830,26807,26945,26560,-0.01%
"May 30, 2014",26863,26816,26910,26709,0.12%
"Jun 02, 2014",26701,26830,26939,26655,-0.60%
"Jun 03, 2014",26735,26690,26875,26635,0.13%
"Jun 04, 2014",26639,26769,26799,26631,-0.36%
"Jun 05, 2014",26894,26615,26970,26511,0.96%
"Jun 06, 2014",25863,25936,25988,25755,-3.83%
"Jun 09, 2014",25982,25825,26010,25811,0.46%
"Jun 10, 2014",26139,25984,26164,25951,0.60%
"Jun 11, 2014",26073,26189,26199,25956,-0.25%
"Jun 12, 2014",26330,26077,26360,25980,0.99%
"Jun 13, 2014",26627,26362,26660,26321,1.13%
"Jun 16, 2014",26831,26650,27035,26650,0.77%
"Jun 17, 2014",26839,26775,26904,26550,0.03%
"Jun 18, 2014",26826,26787,26964,26690,-0.05%
"Jun 19, 2014",27611,26827,27653,26800,2.93%
"Jun 20, 2014",27668,27636,27820,27468,0.21%
"Jun 23, 2014",27678,27616,27746,27572,0.04%
"Jun 24, 2014",27731,27641,27870,27585,0.19%
"Jun 25, 2014",27751,27700,27820,27587,0.07%
"Jun 26, 2014",27667,27703,27748,27490,-0.30%
"Jun 27, 2014",27672,27705,27799,27605,0.02%
"Jun 30, 2014",27776,27632,27850,27561,0.38%
"Jul 01, 2014",27746,27867,27940,27730,-0.11%
"Jul 02, 2014",27663,27799,27800,27532,-0.30%
"Jul 03, 2014",27464,27564,27634,27363,-0.72%
"Jul 04, 2014",27557,27487,27595,27451,0.34%
"Jul 07, 2014",27490,27482,27522,27382,-0.24%
"Jul 08, 2014",27519,27507,27629,27381,0.11%
"Jul 09, 2014",27613,27545,27698,27544,0.34%
"Jul 10, 2014",28496,27655,28589,27500,3.20%
"Jul 11, 2014",28356,28528,28528,28231,-0.49%
"Jul 12, 2014",28320,28320,28320,28320,-0.13%
"Jul 13, 2014",28320,28320,28320,28320,0.00%
"Jul 14, 2014",27762,28221,28304,27726,-1.97%
"Jul 15, 2014",27648,27857,27948,27587,-0.41%
"Jul 16, 2014",27676,27667,27735,27583,0.10%
"Jul 17, 2014",28199,27745,28398,27743,1.89%
"Jul 18, 2014",27993,28158,28179,27917,-0.73%
"Jul 20, 2014",27997,27997,27997,27997,0.01%
"Jul 21, 2014",28087,28015,28217,27983,0.32%
"Jul 22, 2014",27895,28070,28087,27812,-0.68%
"Jul 23, 2014",27882,27924,27995,27852,-0.05%
"Jul 24, 2014",27626,27850,27850,27602,-0.92%
"Jul 25, 2014",27938,27661,27965,27651,1.13%
"Jul 27, 2014",27928,27928,27928,27928,-0.04%
"Jul 28, 2014",27926,28000,28035,27880,-0.01%
"Jul 29, 2014",27866,28000,28090,27825,-0.21%
"Jul 30, 2014",27934,27853,27979,27723,0.24%
"Jul 31, 2014",27818,27805,27956,27752,-0.42%
"Aug 01, 2014",28054,27845,28123,27798,0.85%
"Aug 04, 2014",27915,28035,28099,27866,-0.50%
"Aug 05, 2014",27844,27997,28035,27819,-0.25%
"Aug 06, 2014",28633,28175,28717,28175,2.83%
"Aug 07, 2014",28770,28595,28836,28531,0.48%
"Aug 08, 2014",28604,28845,29085,28566,-0.58%
"Aug 10, 2014",28598,28598,28598,28598,-0.02%
"Aug 11, 2014",28633,28569,28693,28528,0.12%
"Aug 12, 2014",28730,28561,28891,28550,0.34%
"Aug 13, 2014",28688,28640,28750,28587,-0.15%
"Aug 14, 2014",28614,28682,28775,28501,-0.26%
"Aug 18, 2014",28295,28505,28505,28256,-1.11%
"Aug 19, 2014",28252,28321,28360,28204,-0.15%
"Aug 20, 2014",28212,28258,28282,28150,-0.14%
"Aug 21, 2014",27747,28161,28161,27704,-1.65%
"Aug 22, 2014",27813,27791,27880,27714,0.24%
"Aug 25, 2014",27771,27774,27848,27715,-0.15%
"Aug 26, 2014",27895,27813,28040,27804,0.45%
"Aug 27, 2014",27780,27863,27925,27765,-0.41%
"Aug 28, 2014",28075,27824,28178,27824,1.06%
"Aug 29, 2014",27996,28020,28037,27884,-0.28%
"Sep 01, 2014",27934,27958,27967,27907,-0.22%
"Sep 02, 2014",27554,27883,27898,27534,-1.36%
"Sep 03, 2014",27570,27569,27620,27368,0.06%
"Sep 04, 2014",27461,27596,27632,27388,-0.40%
"Sep 05, 2014",27378,27406,27537,27332,-0.30%
"Sep 08, 2014",27204,27431,27480,27105,-0.64%
"Sep 09, 2014",27261,27213,27380,27156,0.21%
"Sep 10, 2014",27179,27334,27429,27142,-0.30%
"Sep 11, 2014",26986,27200,27245,26953,-0.71%
"Sep 12, 2014",26898,26945,26984,26790,-0.33%
"Sep 13, 2014",26899,26899,26899,26899,0.00%
"Sep 15, 2014",26999,26937,27117,26911,0.37%
"Sep 16, 2014",26954,27025,27114,26920,-0.17%
"Sep 17, 2014",26901,27001,27001,26865,-0.20%
"Sep 18, 2014",26659,26845,26845,26560,-0.90%
"Sep 19, 2014",26496,26634,26665,26461,-0.61%
"Sep 22, 2014",26588,26464,26650,26313,0.35%
"Sep 23, 2014",26669,26580,26944,26471,0.30%
"Sep 24, 2014",26549,26672,26740,26528,-0.45%
"Sep 25, 2014",26935,26505,26962,26380,1.45%
"Sep 26, 2014",26793,26920,27135,26753,-0.53%
"Sep 27, 2014",26798,26798,26798,26798,0.02%
"Sep 29, 2014",26913,26855,27000,26802,0.43%
"Sep 30, 2014",27129,26901,27172,26792,0.80%
"Oct 01, 2014",26888,27018,27192,26800,-0.89%
"Oct 03, 2014",26510,26510,26510,26510,-1.41%
"Oct 05, 2014",26510,26510,26510,26510,0.00%
"Oct 06, 2014",26721,26504,26748,26472,0.80%
"Oct 07, 2014",26810,26657,26837,26641,0.33%
"Oct 08, 2014",26737,26830,26995,26705,-0.27%
"Oct 09, 2014",26958,26845,27048,26845,0.83%
"Oct 10, 2014",26964,26934,27048,26845,0.02%
"Oct 13, 2014",26972,27022,27246,26940,0.03%
"Oct 14, 2014",27252,27070,27297,27055,1.04%
"Oct 16, 2014",27449,27270,27610,27270,0.72%
"Oct 17, 2014",27256,27425,27488,27166,-0.70%
"Oct 20, 2014",27415,27219,27490,27204,0.58%
"Oct 21, 2014",27554,27473,27640,27462,0.51%
"Oct 22, 2014",27481,27525,27542,27411,-0.26%
"Oct 23, 2014",27120,27270,27304,27090,-1.31%
"Oct 24, 2014",27176,27200,27245,27141,0.21%
"Oct 27, 2014",27214,27168,27238,27130,0.14%
"Oct 28, 2014",27135,27185,27270,27113,-0.29%
"Oct 29, 2014",27079,27187,27195,27013,-0.21%
"Oct 30, 2014",26603,26990,26990,26562,-1.76%
"Oct 31, 2014",26135,26563,26590,25881,-1.76%
"Nov 03, 2014",26077,26000,26263,25940,-0.22%
"Nov 04, 2014",25963,26069,26187,25910,-0.44%
"Nov 05, 2014",25493,25850,25850,25337,-1.81%
"Nov 06, 2014",25461,25485,25567,25401,-0.13%
"Nov 07, 2014",25932,25425,25963,25164,1.85%
"Nov 10, 2014",25733,25958,26036,25660,-0.77%
"Nov 11, 2014",25796,25653,25878,25433,0.24%
"Nov 12, 2014",25788,25818,25956,25730,-0.03%
"Nov 13, 2014",25822,25842,25930,25682,0.13%
"Nov 14, 2014",26466,25826,26531,25585,2.49%
"Nov 16, 2014",26448,26448,26448,26448,-0.07%
"Nov 17, 2014",26330,26417,26520,26300,-0.45%
"Nov 18, 2014",26596,26426,26774,26392,1.01%
"Nov 19, 2014",26711,26575,26833,26057,0.43%
"Nov 20, 2014",26463,26550,26617,26366,-0.93%
"Nov 21, 2014",26391,26483,26629,26348,-0.27%
"Nov 23, 2014",26401,26401,26401,26401,0.04%
"Nov 24, 2014",26480,26402,26540,26402,0.30%
"Nov 25, 2014",26326,26492,26533,26280,-0.58%
"Nov 26, 2014",26362,26363,26417,26293,0.14%
"Nov 27, 2014",26247,26308,26334,26131,-0.44%
"Nov 28, 2014",25794,26155,26230,25741,-1.73%
"Dec 01, 2014",26509,25401,26566,25224,2.77%
"Dec 02, 2014",26188,26314,26437,26057,-1.21%
"Dec 03, 2014",26477,26237,26500,26221,1.10%
"Dec 04, 2014",26349,26472,26472,26260,-0.48%
"Dec 05, 2014",26132,26253,26404,26050,-0.82%
"Dec 08, 2014",26361,26400,26459,26280,0.88%
"Dec 09, 2014",27159,26400,27280,26400,3.03%
"Dec 10, 2014",27191,27161,27340,27061,0.12%
"Dec 11, 2014",27258,27161,27359,27006,0.25%
"Dec 12, 2014",27209,27265,27288,27026,-0.18%
"Dec 15, 2014",27320,27155,27500,27036,0.41%
"Dec 16, 2014",27194,27225,27796,26986,-0.46%
"Dec 17, 2014",26955,27150,27247,26915,-0.88%
"Dec 18, 2014",26815,26999,27263,26732,-0.52%
"Dec 19, 2014",26998,26849,27046,26825,0.68%
"Dec 22, 2014",26608,26965,27050,26538,-1.44%
"Dec 23, 2014",26625,26592,26749,26500,0.06%
"Dec 24, 2014",26584,26587,26670,26555,-0.15%
"Dec 26, 2014",27073,26733,27109,26733,1.84%
"Dec 29, 2014",26764,27031,27070,26725,-1.14%
"Dec 30, 2014",27049,26845,27220,26660,1.06%
"Dec 31, 2014",26703,27030,27055,26617,-1.28%
"Jan 01, 2015",26699,26691,26755,26670,-0.01%
"Jan 02, 2015",26730,26740,26855,26351,0.12%
"Jan 05, 2015",27038,26815,27079,26736,1.15%
"Jan 06, 2015",27394,27100,27449,27083,1.32%
"Jan 07, 2015",27161,27348,27360,27120,-0.85%
"Jan 08, 2015",26801,27125,27125,26760,-1.33%
"Jan 09, 2015",26800,26778,26887,26668,0.00%
"Jan 12, 2015",27030,26875,27114,26825,0.86%
"Jan 13, 2015",27055,27145,27262,27005,0.09%
"Jan 14, 2015",27201,27020,27260,26901,0.54%
"Jan 15, 2015",27492,27066,27546,26706,1.07%
"Jan 16, 2015",27654,27525,27790,27386,0.59%
"Jan 17, 2015",27600,27600,27600,27600,-0.20%
"Jan 19, 2015",27700,27650,27770,27623,0.36%
"Jan 20, 2015",28085,27730,28140,27730,1.39%
"Jan 21, 2015",27977,28049,28271,27811,-0.38%
"Jan 22, 2015",28036,27941,28236,27751,0.21%
"Jan 23, 2015",27864,28010,28090,27791,-0.61%
"Jan 25, 2015",27895,27895,27895,27895,0.11%
"Jan 27, 2015",27902,27765,27988,27569,0.03%
"Jan 28, 2015",27759,27865,27935,27735,-0.51%
"Jan 29, 2015",27419,27729,27819,27382,-1.22%
"Jan 30, 2015",27895,27452,28178,27424,1.74%
"Feb 02, 2015",27840,27946,28020,27723,-0.20%
"Feb 03, 2015",27498,27721,28019,27450,-1.23%
"Feb 04, 2015",27729,27560,27815,27500,0.84%
"Feb 05, 2015",28276,27875,28500,27605,1.97%
"Feb 06, 2015",26802,27345,27440,26681,-5.21%
"Feb 09, 2015",26944,26927,26990,26832,0.53%
"Feb 10, 2015",26856,26963,26985,26811,-0.33%
"Feb 11, 2015",26665,26874,26910,26621,-0.71%
"Feb 12, 2015",26519,26609,26800,26508,-0.55%
"Feb 13, 2015",26691,26606,26787,26598,0.65%
"Feb 16, 2015",26704,26720,26870,26680,0.05%
"Feb 17, 2015",26219,26650,26650,26182,-1.82%
"Feb 18, 2015",26137,26244,26346,26070,-0.31%
"Feb 19, 2015",26266,26245,26510,26234,0.49%
"Feb 20, 2015",26277,26260,26399,26151,0.04%
"Feb 21, 2015",26279,26279,26279,26279,0.01%
"Feb 23, 2015",26153,26228,26321,25955,-0.48%
"Feb 24, 2015",26059,26228,26259,25976,-0.36%
"Feb 25, 2015",26123,26079,26319,26079,0.25%
"Feb 26, 2015",26216,26245,26370,26175,0.36%
"Feb 27, 2015",26227,26240,26335,26105,0.04%
"Feb 28, 2015",26477,26166,26515,26069,0.95%
"Mar 02, 2015",26510,26600,26769,26500,0.12%
"Mar 03, 2015",26427,26500,26590,26380,-0.31%
"Mar 04, 2015",26547,26411,26579,26409,0.45%
"Mar 05, 2015",26484,26565,26627,26435,-0.24%
"Mar 06, 2015",26012,26460,26484,25982,-1.78%
"Mar 09, 2015",26024,26073,26129,26001,0.05%
"Mar 10, 2015",25919,25962,26079,25780,-0.40%
"Mar 11, 2015",25685,25950,25950,25653,-0.90%
"Mar 12, 2015",25655,25660,25860,25562,-0.12%
"Mar 13, 2015",25890,25720,25918,25720,0.92%
"Mar 14, 2015",25912,25912,25912,25912,0.08%
"Mar 16, 2015",25783,25875,25941,25706,-0.50%
"Mar 17, 2015",25617,25721,25830,25521,-0.64%
"Mar 18, 2015",25637,25631,25697,25500,0.08%
"Mar 19, 2015",25962,25740,25997,25740,1.27%
"Mar 20, 2015",26182,25980,26236,25900,0.85%
"Mar 23, 2015",26198,26162,26220,26080,0.06%
"Mar 24, 2015",26351,26169,26389,26135,0.58%
"Mar 25, 2015",26483,26280,26498,26212,0.50%
"Mar 26, 2015",26801,26590,26988,26562,1.20%
"Mar 27, 2015",26569,26675,26758,26387,-0.87%
"Mar 30, 2015",26270,26430,26459,26235,-1.13%
"Mar 31, 2015",26204,26208,26344,26156,-0.25%
"Apr 01, 2015",26466,26295,26520,26145,1.00%
"Apr 03, 2015",26597,26597,26597,26597,0.49%
"Apr 06, 2015",26997,26645,27095,26645,1.50%
"Apr 07, 2015",26875,26980,26980,26852,-0.45%
"Apr 08, 2015",26760,26880,26929,26671,-0.43%
"Apr 09, 2015",26521,26700,26700,26462,-0.89%
"Apr 10, 2015",26781,26577,26840,26534,0.98%
"Apr 13, 2015",26699,26760,26815,26629,-0.31%
"Apr 14, 2015",26544,26622,26622,26387,-0.58%
"Apr 15, 2015",26737,26532,26765,26476,0.73%
"Apr 16, 2015",26645,26710,26845,26568,-0.34%
"Apr 17, 2015",26812,26617,26840,26617,0.63%
"Apr 20, 2015",26837,26845,26967,26768,0.09%
"Apr 21, 2015",26936,26880,26950,26753,0.37%
"Apr 22, 2015",26624,26853,26960,26606,-1.16%
"Apr 23, 2015",26900,26640,26917,26635,1.04%
"Apr 24, 2015",26701,26867,26959,26630,-0.74%
"Apr 27, 2015",27083,26771,27135,26707,1.43%
"Apr 28, 2015",27190,27070,27212,26970,0.40%
"Apr 29, 2015",27238,27123,27274,27064,0.18%
"Apr 30, 2015",26716,27160,27279,26655,-1.92%
"May 01, 2015",26636,26660,26689,26490,-0.30%
"May 04, 2015",26868,26697,26959,26697,0.87%
"May 05, 2015",26880,26836,27020,26776,0.04%
"May 06, 2015",26911,26950,27054,26813,0.12%
"May 07, 2015",26934,26912,27040,26845,0.09%
"May 08, 2015",26889,26912,27014,26821,-0.17%
"May 11, 2015",26839,26913,26952,26778,-0.19%
"May 12, 2015",27167,26860,27241,26860,1.22%
"May 13, 2015",27528,27110,27568,27051,1.33%
"May 14, 2015",27434,27450,27595,27370,-0.34%
"May 15, 2015",27463,27400,27480,27246,0.11%
"May 18, 2015",27617,27519,27685,27505,0.56%
"May 19, 2015",27296,27580,27580,27258,-1.16%
"May 20, 2015",27284,27260,27364,27186,-0.04%
"May 21, 2015",27108,27278,27318,27089,-0.65%
"May 22, 2015",27082,27159,27297,27053,-0.10%
"May 25, 2015",27161,27096,27175,27082,0.29%
"May 26, 2015",26892,27140,27195,26862,-0.99%
"May 27, 2015",26877,26957,26975,26835,-0.06%
"May 28, 2015",26861,26860,26916,26712,-0.06%
"May 29, 2015",26860,26875,26925,26780,0.00%
"Jun 01, 2015",26692,26831,26984,26666,-0.63%
"Jun 02, 2015",26850,26641,26900,26641,0.59%
"Jun 03, 2015",26808,26893,26900,26550,-0.16%
"Jun 04, 2015",26617,26850,26850,26517,-0.71%
"Jun 05, 2015",26555,26610,26798,26350,-0.23%
"Jun 08, 2015",26795,26780,26840,26725,0.90%
"Jun 09, 2015",26868,26822,26926,26770,0.27%
"Jun 10, 2015",26971,26865,27072,26837,0.38%
"Jun 11, 2015",26892,26958,26970,26790,-0.29%
"Jun 12, 2015",26894,26904,26975,26840,0.01%
"Jun 15, 2015",27029,26935,27092,26738,0.50%
"Jun 16, 2015",26956,27011,27069,26869,-0.27%
"Jun 17, 2015",26880,26919,26920,26803,-0.28%
"Jun 18, 2015",27156,26939,27245,26909,1.03%
"Jun 19, 2015",27081,27138,27187,27025,-0.28%
"Jun 22, 2015",26702,27039,27039,26681,-1.40%
"Jun 23, 2015",26597,26770,26800,26583,-0.39%
"Jun 24, 2015",26533,26619,26670,26480,-0.24%
"Jun 25, 2015",26485,26570,26614,26460,-0.18%
"Jun 26, 2015",26524,26538,26589,26412,0.15%
"Jun 29, 2015",26671,26590,26868,26590,0.55%
"Jun 30, 2015",26471,26625,26635,26390,-0.75%
"Jul 01, 2015",26411,26531,26531,26391,-0.23%
"Jul 02, 2015",26195,26380,26380,26130,-0.82%
"Jul 03, 2015",26352,26244,26387,26217,0.60%
"Jul 06, 2015",26328,26369,26375,26187,-0.09%
"Jul 07, 2015",26032,26276,26285,25883,-1.12%
"Jul 08, 2015",26213,26008,26248,25871,0.70%
"Jul 09, 2015",26064,26202,26242,26040,-0.57%
"Jul 10, 2015",26058,26088,26158,26017,-0.02%
"Jul 13, 2015",26024,26115,26115,25937,-0.13%
"Jul 14, 2015",25927,26025,26034,25908,-0.37%
"Jul 15, 2015",25847,25953,25970,25764,-0.31%
"Jul 16, 2015",25771,25810,25810,25710,-0.29%
"Jul 17, 2015",25498,25733,25756,25461,-1.06%
"Jul 20, 2015",25034,25475,25475,24904,-1.82%
"Jul 21, 2015",24897,24961,25030,24865,-0.55%
"Jul 22, 2015",24677,24811,24811,24572,-0.88%
"Jul 23, 2015",24734,24780,24910,24702,0.23%
"Jul 24, 2015",24731,24559,24821,24451,-0.01%
"Jul 27, 2015",24899,24830,25018,24756,0.68%
"Jul 28, 2015",24752,24799,24869,24701,-0.59%
"Jul 29, 2015",24720,24778,24835,24691,-0.13%
"Jul 30, 2015",24718,24737,24835,24565,-0.01%
"Jul 31, 2015",24813,24668,24892,24535,0.38%
"Aug 03, 2015",24761,24818,24820,24710,-0.21%
"Aug 04, 2015",24675,24610,24701,24570,-0.35%
"Aug 05, 2015",24597,24535,24706,24500,-0.32%
"Aug 06, 2015",24788,24675,24849,24656,0.78%
"Aug 07, 2015",24895,24767,24985,24710,0.43%
"Aug 10, 2015",25122,24885,25199,24876,0.91%
"Aug 11, 2015",25426,25150,25529,25105,1.21%
"Aug 12, 2015",26014,25600,26034,25580,2.31%
"Aug 13, 2015",25895,25882,25995,25835,-0.46%
"Aug 14, 2015",25768,25825,25938,25740,-0.49%
"Aug 17, 2015",26032,25880,26087,25880,1.02%
"Aug 18, 2015",26008,26059,26075,25855,-0.09%
"Aug 19, 2015",26196,25977,26239,25919,0.72%
"Aug 20, 2015",26849,26200,26874,26200,2.49%
"Aug 21, 2015",27239,27145,27330,26851,1.45%
"Aug 24, 2015",27448,27300,27833,27213,0.77%
"Aug 25, 2015",26740,27300,27345,26662,-2.58%
"Aug 26, 2015",26471,26712,26825,26225,-1.01%
"Aug 27, 2015",26278,26400,26449,26169,-0.73%
"Aug 28, 2015",26623,26490,26750,26381,1.31%
"Aug 31, 2015",26682,26673,26750,26523,0.22%
"Sep 01, 2015",26833,26770,27017,26753,0.57%
"Sep 02, 2015",26629,26800,26843,26609,-0.76%
"Sep 03, 2015",26394,26622,26636,26326,-0.88%
"Sep 04, 2015",26532,26422,26683,26402,0.52%
"Sep 07, 2015",26500,26580,26607,26462,-0.12%
"Sep 08, 2015",26424,26499,26518,26386,-0.29%
"Sep 09, 2015",26057,26449,26472,25984,-1.39%
"Sep 10, 2015",26163,26143,26289,26042,0.41%
"Sep 11, 2015",25967,26179,26200,25900,-0.75%
"Sep 14, 2015",26070,26123,26125,25963,0.40%
"Sep 15, 2015",25980,26068,26088,25940,-0.35%
"Sep 16, 2015",26291,25993,26350,25965,1.20%
"Sep 17, 2015",26168,26208,26248,26136,-0.47%
"Sep 18, 2015",26469,26350,26590,26313,1.15%
"Sep 21, 2015",26345,26487,26547,26290,-0.47%
"Sep 22, 2015",26238,26319,26450,26181,-0.41%
"Sep 23, 2015",26467,26229,26490,26209,0.87%
"Sep 24, 2015",26952,26520,27100,26465,1.83%
"Sep 25, 2015",26734,26825,26825,26628,-0.81%
"Sep 28, 2015",26504,26692,26725,26341,-0.86%
"Sep 29, 2015",26243,26536,26568,26211,-0.98%
"Sep 30, 2015",25856,26212,26212,25760,-1.47%
"Oct 01, 2015",25773,25827,25875,25711,-0.32%
"Oct 05, 2015",26068,26173,26201,26013,1.14%
"Oct 06, 2015",26621,26424,26728,26385,2.12%
"Oct 07, 2015",26555,26700,26788,26416,-0.25%
"Oct 08, 2015",26446,26501,26534,26337,-0.41%
"Oct 09, 2015",26622,26424,26696,26402,0.67%
"Oct 12, 2015",26788,26675,26938,26664,0.62%
"Oct 13, 2015",26979,26725,27026,26631,0.71%
"Oct 14, 2015",27206,27108,27290,26900,0.84%
"Oct 15, 2015",27257,27211,27368,27061,0.19%
"Oct 16, 2015",27150,27225,27225,27063,-0.39%
"Oct 19, 2015",27006,27111,27111,26922,-0.53%
"Oct 20, 2015",27112,26927,27190,26913,0.39%
"Oct 21, 2015",26955,27120,27197,26925,-0.58%
"Oct 22, 2015",26865,26963,27008,26843,-0.33%
"Oct 23, 2015",26809,26874,27095,26726,-0.21%
"Oct 26, 2015",26823,26834,26927,26770,0.05%
"Oct 27, 2015",26925,26806,26940,26780,0.38%
"Oct 28, 2015",27073,26945,27189,26932,0.55%
"Oct 29, 2015",26621,27040,27040,26605,-1.67%
"Oct 30, 2015",26499,26588,26625,26461,-0.46%
"Nov 02, 2015",26409,26480,26540,26381,-0.34%
"Nov 03, 2015",25922,26393,26432,25884,-1.84%
"Nov 04, 2015",25771,25940,26073,25732,-0.58%
"Nov 05, 2015",25841,25819,25922,25743,0.27%
"Nov 06, 2015",25523,25815,25899,25464,-1.23%
"Nov 09, 2015",25686,25722,25763,25625,0.64%
"Nov 10, 2015",25582,25695,25725,25491,-0.40%
"Nov 11, 2015",25471,25495,25529,25461,-0.43%
"Nov 12, 2015",25329,25455,25540,25202,-0.56%
"Nov 13, 2015",25372,25390,25499,25336,0.17%
"Nov 16, 2015",25347,25585,25725,25327,-0.10%
"Nov 17, 2015",25028,25290,25368,24960,-1.26%
"Nov 18, 2015",25094,24997,25174,24997,0.26%
"Nov 19, 2015",25291,25186,25443,25100,0.79%
"Nov 20, 2015",25243,25361,25491,25200,-0.19%
"Nov 23, 2015",25165,25183,25280,25081,-0.31%
"Nov 24, 2015",25289,25193,25379,25171,0.49%
"Nov 25, 2015",25222,25243,25275,25141,-0.26%
"Nov 26, 2015",25281,25255,25337,25250,0.23%
"Nov 27, 2015",25059,25244,25278,24965,-0.88%
"Nov 30, 2015",25069,24994,25115,24935,0.04%
"Dec 01, 2015",24994,25183,25218,24973,-0.30%
"Dec 02, 2015",24840,25065,25127,24814,-0.62%
"Dec 03, 2015",24937,24804,25060,24757,0.39%
"Dec 04, 2015",25267,25095,25685,25040,1.32%
"Dec 07, 2015",25552,25710,25715,25512,1.13%
"Dec 08, 2015",25526,25500,25614,25387,-0.10%
"Dec 09, 2015",25602,25530,25747,25430,0.30%
"Dec 10, 2015",25418,25515,25544,25391,-0.72%
"Dec 11, 2015",25679,25357,25714,25270,1.03%
"Dec 14, 2015",25347,25606,25623,25335,-1.29%
"Dec 15, 2015",25266,25333,25419,25190,-0.32%
"Dec 16, 2015",25468,25307,25498,25203,0.80%
"Dec 17, 2015",24841,25370,25370,24740,-2.46%
"Dec 18, 2015",25082,24871,25228,24846,0.97%
"Dec 21, 2015",25385,25173,25413,25130,1.21%
"Dec 22, 2015",25251,25339,25397,25230,-0.53%
"Dec 23, 2015",25067,25222,25240,25055,-0.73%
"Dec 24, 2015",25212,25123,25227,25092,0.58%
"Dec 28, 2015",25125,25193,25205,25111,-0.35%
"Dec 29, 2015",25130,25207,25279,25111,0.02%
"Dec 30, 2015",24982,25200,25217,24970,-0.59%
"Dec 31, 2015",24931,25009,25013,24850,-0.20%
"Jan 01, 2016",24962,24913,25039,24913,0.12%
"Jan 04, 2016",25397,25040,25521,25034,1.74%
"Jan 05, 2016",25388,25336,25490,25318,-0.04%
"Jan 06, 2016",25741,25469,25784,25439,1.39%
"Jan 07, 2016",26100,25800,26123,25769,1.39%
"Jan 08, 2016",25982,26022,26088,25770,-0.45%
"Jan 11, 2016",25870,26098,26118,25834,-0.43%
"Jan 12, 2016",25674,25883,25966,25614,-0.76%
"Jan 13, 2016",25735,25620,25790,25516,0.24%
"Jan 14, 2016",25637,25824,26015,25591,-0.38%
"Jan 15, 2016",26112,25658,26215,25658,1.85%
"Jan 18, 2016",26065,26053,26100,25966,-0.18%
"Jan 19, 2016",26057,26023,26080,25860,-0.03%
"Jan 20, 2016",26559,26199,26658,26164,1.93%
"Jan 21, 2016",26190,26361,26507,26151,-1.39%
"Jan 22, 2016",26160,26281,26282,26100,-0.11%
"Jan 25, 2016",26387,26247,26442,26206,0.87%
"Jan 27, 2016",26749,26450,26809,26450,1.37%
